	x	y	scan1	scan2	boolean_x	boolean_y	combination
241	-6.482804102050026	-4.47755576649368	2348.0	7602.0	True	True	Both identifications are reported
242	-7.931814138253839	-5.2262135550188065	2363.0	4320.0	True	True	Both identifications are reported
243	-6.006123085058789	-4.47755576649368	2390.0	7602.0	True	True	Both identifications are reported
244	-19.193141970481182	-3.242042788133535	2398.0	9414.0	True	False	Only one identification is reported
245	-14.202040356262804	-3.242042788133535	2488.0	9414.0	True	False	Only one identification is reported
246	-7.536107011014093	-3.242042788133535	2593.0	9414.0	True	False	Only one identification is reported
247	-10.935542010773082	-3.242042788133535	2600.0	9414.0	True	False	Only one identification is reported
248	-9.139063379299905	-3.242042788133535	2684.0	9414.0	True	False	Only one identification is reported
249	-14.411168274405792	-13.385102783966865	3854.0	6910.0	True	True	Both identifications are reported
250	-7.27083521030723	-5.0	3924.0	2580.0	True	True	Both identifications are reported
251	-15.950781977329818	-13.385102783966865	3944.0	6910.0	True	True	Both identifications are reported
252	-14.623423042943488	-13.385102783966865	3965.0	6910.0	True	True	Both identifications are reported
253	-15.747146969020108	-13.385102783966865	3977.0	6910.0	True	True	Both identifications are reported
254	-13.534617148551582	-20.625251653989896	3980.0	2229.0	True	True	Both identifications are reported
255	-18.28819277095881	-5.0	4045.0	2580.0	True	True	Both identifications are reported
256	-14.787812395596042	-13.385102783966865	4091.0	6910.0	True	True	Both identifications are reported
257	-19.33068311943389	-7.931814138253839	4119.0	2363.0	True	True	Both identifications are reported
258	-12.296708621881338	-5.0	4133.0	2580.0	True	True	Both identifications are reported
259	-4.91721462968355	-4.5934598195660445	4172.0	4920.0	True	True	Both identifications are reported
260	-4.853871964321762	-6.006123085058789	4176.0	2390.0	True	True	Both identifications are reported
261	-16.087777943467586	-7.146301788223826	4204.0	6206.0	True	True	Both identifications are reported
262	-6.876148359032914	-7.931814138253839	4205.0	2363.0	True	True	Both identifications are reported
263	-6.392544976785332	-7.931814138253839	4238.0	2363.0	True	True	Both identifications are reported
264	-5.772113295386326	-7.931814138253839	4245.0	2363.0	True	True	Both identifications are reported
265	-7.6777807052660805	-7.931814138253839	4252.0	2363.0	True	True	Both identifications are reported
266	-12.148741651280925	-7.2644011003018205	4275.0	7904.0	True	True	Both identifications are reported
267	-16.27490547891853	-4.5934598195660445	4308.0	4920.0	True	True	Both identifications are reported
268	-11.503070351926786	-8.665546248849068	4310.0	2139.0	True	True	Both identifications are reported
269	-5.2262135550188065	-6.006123085058789	4320.0	2390.0	True	True	Both identifications are reported
270	-8.126098402135538	-7.931814138253839	4336.0	2363.0	True	True	Both identifications are reported
271	-6.863279432843593	-6.006123085058789	4343.0	2390.0	True	True	Both identifications are reported
272	-5.614393726401688	-6.006123085058789	4351.0	2390.0	True	True	Both identifications are reported
273	-7.978810700930062	-7.2644011003018205	4409.0	7904.0	True	True	Both identifications are reported
274	-14.55129368009492	-8.274088367704952	4646.0	7364.0	True	True	Both identifications are reported
275	-12.366531544420413	-4.512861624522813	4688.0	2364.0	True	True	Both identifications are reported
276	-11.987162775294827	-6.1180450286604	4735.0	7435.0	True	True	Both identifications are reported
277	-15.090979145788843	-8.274088367704952	4742.0	7364.0	True	True	Both identifications are reported
278	-9.454692883534175	-11.01592296609717	4976.0	6152.0	True	True	Both identifications are reported
279	-9.892790030352131	-8.785156151952302	5002.0	5499.0	True	True	Both identifications are reported
280	-13.285670240254767	-8.312471038785366	5057.0	6214.0	True	True	Both identifications are reported
281	-19.568636235841012	-8.312471038785366	5071.0	6214.0	True	True	Both identifications are reported
282	-11.068033885271827	-6.642065152999546	5078.0	7354.0	True	True	Both identifications are reported
283	-14.041436116778032	-6.642065152999546	5086.0	7354.0	True	True	Both identifications are reported
284	-3.517709676787201	-7.295849483160201	5136.0	5652.0	True	False	Only one identification is reported
285	-3.8412141565565796	-7.295849483160201	5151.0	5652.0	True	True	Both identifications are reported
286	-4.377785977033705	-5.573488738635425	5188.0	4950.0	True	False	Only one identification is reported
287	-7.002176919254275	-10.774690718274137	5225.0	6238.0	True	True	Both identifications are reported
288	-13.610833915635467	-8.016824927962187	5242.0	2426.0	True	True	Both identifications are reported
289	-11.136677139879543	-8.016824927962187	5254.0	2426.0	True	True	Both identifications are reported
290	-3.0599862328347562	-7.295849483160201	5463.0	5652.0	True	True	Both identifications are reported
291	-12.471083299722345	-7.295849483160201	5481.0	5652.0	True	True	Both identifications are reported
292	-10.342944147142896	-9.892790030352131	5536.0	5002.0	True	True	Both identifications are reported
293	-5.562249437179612	-6.106793246940152	5554.0	8212.0	True	True	Both identifications are reported
294	-12.619788758288394	-8.665546248849068	5614.0	2139.0	True	True	Both identifications are reported
295	-7.295849483160201	-3.2334324868194013	5652.0	8127.0	True	True	Both identifications are reported
296	-14.199282921717614	-3.3804371335791727	5653.0	3599.0	True	False	Only one identification is reported
297	-4.761953896871205	-2.1020437942483765	5673.0	8218.0	True	False	Only one identification is reported
298	-5.321481620959886	-2.1020437942483765	5683.0	8218.0	True	False	Only one identification is reported
299	-5.701146923590294	-3.8412141565565796	5684.0	5151.0	True	True	Both identifications are reported
300	-4.559090917934783	-2.7756162339765673	5698.0	8413.0	True	False	Only one identification is reported
301	-6.1904402853647325	-6.231361898752386	5835.0	8733.0	True	True	Both identifications are reported
302	-8.96657624451305	-11.995678626217357	5849.0	6249.0	True	True	Both identifications are reported
303	-9.441291429466835	-11.995678626217357	5866.0	6249.0	True	True	Both identifications are reported
304	-12.279840696594043	-8.016824927962187	5953.0	2426.0	True	True	Both identifications are reported
305	-11.204815410317575	-8.016824927962187	5961.0	2426.0	True	True	Both identifications are reported
306	-9.747146969020108	-21.943095148663527	6025.0	8081.0	True	True	Both identifications are reported
307	-7.22767829327708	-8.016824927962187	6048.0	2426.0	True	True	Both identifications are reported
308	-7.1904402853647325	-21.943095148663527	6058.0	8081.0	True	True	Both identifications are reported
309	-10.7281583934635	-15.554395796726402	6114.0	4102.0	True	True	Both identifications are reported
310	-16.27901425584626	-8.96657624451305	6142.0	5849.0	True	True	Both identifications are reported
311	-23.906578314837766	-8.96657624451305	6157.0	5849.0	True	True	Both identifications are reported
312	-12.067019178076801	-13.30715308072277	6164.0	9247.0	True	True	Both identifications are reported
313	-13.744727494896694	-13.30715308072277	6173.0	9247.0	True	True	Both identifications are reported
314	-7.442492798094342	-2.971987345592869	6237.0	8581.0	True	True	Both identifications are reported
315	-11.995678626217357	-5.168770306132936	6249.0	7083.0	True	True	Both identifications are reported
316	-5.847711655616943	-7.396855627379818	6293.0	10588.0	True	True	Both identifications are reported
317	-7.085656842880559	-2.7166625815975083	6433.0	7089.0	True	True	Both identifications are reported
318	-2.0609426429621167	-6.1180450286604	6690.0	7435.0	False	True	Only one identification is reported
319	-10.428291168191313	-5.847711655616943	6892.0	6293.0	True	True	Both identifications are reported
320	-13.385102783966865	-3.3804371335791727	6910.0	3599.0	True	True	Both identifications are reported
321	-9.669586226650809	-6.0835460514500745	6926.0	4112.0	True	True	Both identifications are reported
322	-12.387216143280265	-9.034798298974088	6930.0	7762.0	True	True	Both identifications are reported
323	-8.164943898279883	-8.96657624451305	6969.0	5849.0	True	True	Both identifications are reported
324	-13.0268721464003	-10.774690718274137	6972.0	6238.0	True	True	Both identifications are reported
325	-13.423658649794207	-10.774690718274137	6982.0	6238.0	True	True	Both identifications are reported
326	-15.131943638176958	-10.774690718274137	6991.0	6238.0	True	True	Both identifications are reported
327	-6.950781977329818	-8.96657624451305	6993.0	5849.0	True	True	Both identifications are reported
328	-5.168770306132936	-7.442492798094342	7083.0	6237.0	True	True	Both identifications are reported
329	-8.274088367704952	-11.987162775294827	7364.0	4735.0	True	True	Both identifications are reported
330	-10.164943898279883	-4.5934598195660445	7546.0	4920.0	True	True	Both identifications are reported
331	-7.913640169325252	-4.5934598195660445	7549.0	4920.0	True	True	Both identifications are reported
332	-14.935542010773082	-14.55129368009492	7598.0	4646.0	True	True	Both identifications are reported
333	-18.459670525209127	-14.55129368009492	7626.0	4646.0	True	True	Both identifications are reported
334	-11.244125144327509	-14.55129368009492	7658.0	4646.0	True	True	Both identifications are reported
335	-15.494850021680094	-10.774690718274137	7732.0	6238.0	True	True	Both identifications are reported
336	-5.449771646944906	-7.931814138253839	7739.0	2363.0	True	True	Both identifications are reported
337	-4.681936665037238	-7.442492798094342	7742.0	6237.0	True	True	Both identifications are reported
338	-13.886056647693163	-10.774690718274137	7745.0	6238.0	True	True	Both identifications are reported
339	-9.034798298974088	-2.9717948800945573	7762.0	6653.0	True	True	Both identifications are reported
340	-5.709965388637482	-3.2334324868194013	7763.0	8127.0	True	True	Both identifications are reported
341	-13.367542707815275	-10.774690718274137	7778.0	6238.0	True	True	Both identifications are reported
342	-6.284832642151542	-4.939302159646388	7796.0	4543.0	True	True	Both identifications are reported
343	-7.261219441515631	-8.96657624451305	7804.0	5849.0	True	True	Both identifications are reported
344	-7.375717904164332	-8.96657624451305	7860.0	5849.0	True	True	Both identifications are reported
345	-2.5967215822647614	-10.821023052706831	7866.0	8370.0	True	True	Both identifications are reported
346	-8.692503962086787	-5.321481620959886	7923.0	5683.0	True	True	Both identifications are reported
347	-8.321481620959887	-5.321481620959886	7984.0	5683.0	True	True	Both identifications are reported
348	-8.233587152887601	-5.321481620959886	8000.0	5683.0	True	True	Both identifications are reported
349	-23.642065152999546	-20.625251653989896	8008.0	2229.0	True	True	Both identifications are reported
350	-2.563954279818212	-2.7166625815975083	8012.0	7089.0	False	True	Only one identification is reported
351	-12.76447155309245	-8.11747546204512	8029.0	2929.0	True	True	Both identifications are reported
352	-4.510041520575165	-2.7166625815975083	8032.0	7089.0	True	False	Only one identification is reported
353	-18.05700040663396	-10.774690718274137	8036.0	6238.0	True	True	Both identifications are reported
354	-13.213248577854438	-9.747146969020108	8056.0	6025.0	True	True	Both identifications are reported
355	-5.0726296369609765	-3.0261593798313853	8064.0	8442.0	True	False	Only one identification is reported
356	-12.681936665037238	-12.213248577854438	8067.0	1825.0	True	True	Both identifications are reported
357	-15.108462542327436	-10.774690718274137	8078.0	6238.0	True	True	Both identifications are reported
358	-8.667561540084394	-12.213248577854438	8095.0	1825.0	True	True	Both identifications are reported
359	-15.913640169325252	-9.747146969020108	8154.0	6025.0	True	True	Both identifications are reported
360	-15.131943638176958	-10.774690718274137	8263.0	6238.0	True	True	Both identifications are reported
361	-11.681936665037238	-10.774690718274137	8354.0	6238.0	True	True	Both identifications are reported
362	-10.289036881004725	-10.774690718274137	8363.0	6238.0	True	True	Both identifications are reported
363	-7.396855627379818	-4.714442690992226	10588.0	7068.0	True	True	Both identifications are reported
364	-7.931814138253839	-6.863279432843593	2363.0	4343.0	True	True	Both identifications are reported
365	-13.534617148551582	-6.280668713016273	3980.0	8121.0	True	True	Both identifications are reported
366	-19.33068311943389	-6.006123085058789	4119.0	2390.0	True	True	Both identifications are reported
367	-4.853871964321762	-4.47755576649368	4176.0	7602.0	True	True	Both identifications are reported
368	-6.876148359032914	-6.006123085058789	4205.0	2390.0	True	True	Both identifications are reported
369	-6.392544976785332	-6.006123085058789	4238.0	2390.0	True	True	Both identifications are reported
370	-5.772113295386326	-6.006123085058789	4245.0	2390.0	True	True	Both identifications are reported
371	-7.6777807052660805	-6.006123085058789	4252.0	2390.0	True	True	Both identifications are reported
372	-16.27490547891853	-10.164943898279883	4308.0	7546.0	True	True	Both identifications are reported
373	-5.2262135550188065	-4.47755576649368	4320.0	7602.0	True	False	Only one identification is reported
374	-8.126098402135538	-6.006123085058789	4336.0	2390.0	True	True	Both identifications are reported
375	-6.863279432843593	-4.47755576649368	4343.0	7602.0	True	False	Only one identification is reported
376	-5.614393726401688	-4.47755576649368	4351.0	7602.0	True	True	Both identifications are reported
377	-14.55129368009492	-6.1180450286604	4646.0	7435.0	True	True	Both identifications are reported
378	-15.090979145788843	-6.1180450286604	4742.0	7435.0	True	True	Both identifications are reported
379	-9.892790030352131	-11.01592296609717	5002.0	6152.0	True	True	Both identifications are reported
380	-3.517709676787201	-2.563954279818212	5136.0	8012.0	True	False	Only one identification is reported
381	-3.8412141565565796	-2.563954279818212	5151.0	8012.0	True	True	Both identifications are reported
382	-7.002176919254275	-13.0268721464003	5225.0	6972.0	True	True	Both identifications are reported
383	-13.610833915635467	-9.543633966870956	5242.0	2467.0	True	True	Both identifications are reported
384	-11.136677139879543	-9.543633966870956	5254.0	2467.0	True	True	Both identifications are reported
385	-3.0599862328347562	-2.563954279818212	5463.0	8012.0	True	True	Both identifications are reported
386	-12.471083299722345	-5.701146923590294	5481.0	5684.0	True	True	Both identifications are reported
387	-5.562249437179612	-6.490797477668897	5554.0	8214.0	True	True	Both identifications are reported
388	-12.619788758288394	-5.0	5614.0	2580.0	True	True	Both identifications are reported
389	-14.199282921717614	-7.578396073130169	5653.0	3660.0	True	True	Both identifications are reported
390	-4.761953896871205	-2.7756162339765673	5673.0	8413.0	True	False	Only one identification is reported
391	-5.321481620959886	-2.7756162339765673	5683.0	8413.0	True	False	Only one identification is reported
392	-5.701146923590294	-3.0599862328347562	5684.0	5463.0	True	False	Only one identification is reported
393	-8.96657624451305	-5.168770306132936	5849.0	7083.0	True	True	Both identifications are reported
394	-9.441291429466835	-5.168770306132936	5866.0	7083.0	True	True	Both identifications are reported
395	-12.279840696594043	-9.543633966870956	5953.0	2467.0	True	True	Both identifications are reported
396	-11.204815410317575	-9.543633966870956	5961.0	2467.0	True	True	Both identifications are reported
397	-7.22767829327708	-9.543633966870956	6048.0	2467.0	True	True	Both identifications are reported
398	-10.7281583934635	-17.06048074738138	6114.0	4114.0	True	True	Both identifications are reported
399	-16.27901425584626	-9.441291429466835	6142.0	5866.0	True	True	Both identifications are reported
400	-23.906578314837766	-9.441291429466835	6157.0	5866.0	True	True	Both identifications are reported
401	-12.067019178076801	-5.943095148663527	6164.0	10023.0	True	True	Both identifications are reported
402	-13.744727494896694	-5.943095148663527	6173.0	10023.0	True	True	Both identifications are reported
403	-7.442492798094342	-5.619788758288394	6237.0	8587.0	True	True	Both identifications are reported
404	-11.995678626217357	-2.971987345592869	6249.0	8581.0	True	False	Only one identification is reported
405	-7.085656842880559	-5.709965388637482	6433.0	7763.0	True	True	Both identifications are reported
406	-10.428291168191313	-7.396855627379818	6892.0	10588.0	True	True	Both identifications are reported
407	-13.385102783966865	-7.578396073130169	6910.0	3660.0	True	True	Both identifications are reported
408	-9.669586226650809	-9.415668775632469	6926.0	4121.0	True	True	Both identifications are reported
409	-8.164943898279883	-9.441291429466835	6969.0	5866.0	True	True	Both identifications are reported
410	-6.950781977329818	-9.441291429466835	6993.0	5866.0	True	True	Both identifications are reported
411	-8.274088367704952	-2.0609426429621167	7364.0	6690.0	True	False	Only one identification is reported
412	-14.935542010773082	-11.987162775294827	7598.0	4735.0	True	True	Both identifications are reported
413	-18.459670525209127	-11.987162775294827	7626.0	4735.0	True	True	Both identifications are reported
414	-11.244125144327509	-11.987162775294827	7658.0	4735.0	True	True	Both identifications are reported
415	-5.449771646944906	-6.006123085058789	7739.0	2390.0	True	True	Both identifications are reported
416	-4.681936665037238	-11.995678626217357	7742.0	6249.0	True	True	Both identifications are reported
417	-6.284832642151542	-4.5934598195660445	7796.0	4920.0	True	True	Both identifications are reported
418	-7.261219441515631	-9.441291429466835	7804.0	5866.0	True	True	Both identifications are reported
419	-7.375717904164332	-9.441291429466835	7860.0	5866.0	True	True	Both identifications are reported
420	-2.5967215822647614	-13.006563769502389	7866.0	8412.0	False	True	Only one identification is reported
421	-8.692503962086787	-4.559090917934783	7923.0	5698.0	True	True	Both identifications are reported
422	-8.321481620959887	-4.559090917934783	7984.0	5698.0	True	True	Both identifications are reported
423	-8.233587152887601	-4.559090917934783	8000.0	5698.0	True	True	Both identifications are reported
424	-23.642065152999546	-24.512861624522813	8008.0	2237.0	True	True	Both identifications are reported
425	-2.563954279818212	-5.709965388637482	8012.0	7763.0	False	True	Only one identification is reported
426	-4.510041520575165	-5.709965388637482	8032.0	7763.0	True	True	Both identifications are reported
427	-13.213248577854438	-7.1904402853647325	8056.0	6058.0	True	True	Both identifications are reported
428	-15.913640169325252	-7.1904402853647325	8154.0	6058.0	True	True	Both identifications are reported
429	-7.931814138253839	-5.614393726401688	2363.0	4351.0	True	True	Both identifications are reported
430	-19.33068311943389	-4.853871964321762	4119.0	4176.0	True	True	Both identifications are reported
431	-6.876148359032914	-4.47755576649368	4205.0	7602.0	True	True	Both identifications are reported
432	-6.392544976785332	-4.47755576649368	4238.0	7602.0	True	False	Only one identification is reported
433	-5.772113295386326	-4.47755576649368	4245.0	7602.0	True	True	Both identifications are reported
434	-7.6777807052660805	-4.47755576649368	4252.0	7602.0	True	False	Only one identification is reported
435	-16.27490547891853	-7.913640169325252	4308.0	7549.0	True	True	Both identifications are reported
436	-8.126098402135538	-4.47755576649368	4336.0	7602.0	True	False	Only one identification is reported
437	-3.517709676787201	-4.510041520575165	5136.0	8032.0	True	False	Only one identification is reported
438	-3.8412141565565796	-4.510041520575165	5151.0	8032.0	True	True	Both identifications are reported
439	-7.002176919254275	-13.423658649794207	5225.0	6982.0	True	True	Both identifications are reported
440	-13.610833915635467	-7.3124710387853655	5242.0	2519.0	True	True	Both identifications are reported
441	-11.136677139879543	-7.3124710387853655	5254.0	2519.0	True	True	Both identifications are reported
442	-3.0599862328347562	-4.510041520575165	5463.0	8032.0	True	True	Both identifications are reported
443	-12.471083299722345	-2.563954279818212	5481.0	8012.0	True	True	Both identifications are reported
444	-5.562249437179612	-5.239577516576788	5554.0	8336.0	True	True	Both identifications are reported
445	-12.619788758288394	-7.27083521030723	5614.0	3924.0	True	True	Both identifications are reported
446	-14.199282921717614	-4.361510743045363	5653.0	3759.0	True	False	Only one identification is reported
447	-5.701146923590294	-7.085656842880559	5684.0	6433.0	True	True	Both identifications are reported
448	-8.96657624451305	-2.971987345592869	5849.0	8581.0	True	False	Only one identification is reported
449	-9.441291429466835	-2.971987345592869	5866.0	8581.0	True	False	Only one identification is reported
450	-12.279840696594043	-7.3124710387853655	5953.0	2519.0	True	True	Both identifications are reported
451	-11.204815410317575	-7.3124710387853655	5961.0	2519.0	True	True	Both identifications are reported
452	-7.22767829327708	-7.3124710387853655	6048.0	2519.0	True	True	Both identifications are reported
453	-10.7281583934635	-10.596879478824182	6114.0	4196.0	True	True	Both identifications are reported
454	-16.27901425584626	-8.164943898279883	6142.0	6969.0	True	True	Both identifications are reported
455	-23.906578314837766	-8.164943898279883	6157.0	6969.0	True	True	Both identifications are reported
456	-12.067019178076801	-2.757885182319225	6164.0	10412.0	True	False	Only one identification is reported
457	-13.744727494896694	-2.757885182319225	6173.0	10412.0	True	False	Only one identification is reported
458	-7.442492798094342	-6.492144128304169	6237.0	8603.0	True	True	Both identifications are reported
459	-11.995678626217357	-5.619788758288394	6249.0	8587.0	True	True	Both identifications are reported
460	-7.085656842880559	-2.563954279818212	6433.0	8012.0	True	True	Both identifications are reported
461	-13.385102783966865	-4.361510743045363	6910.0	3759.0	True	True	Both identifications are reported
462	-9.669586226650809	-2.8734742687056753	6926.0	4501.0	True	False	Only one identification is reported
463	-8.164943898279883	-7.442492798094342	6969.0	6237.0	True	True	Both identifications are reported
464	-6.950781977329818	-7.442492798094342	6993.0	6237.0	True	True	Both identifications are reported
465	-14.935542010773082	-15.090979145788843	7598.0	4742.0	True	True	Both identifications are reported
466	-18.459670525209127	-15.090979145788843	7626.0	4742.0	True	True	Both identifications are reported
467	-11.244125144327509	-15.090979145788843	7658.0	4742.0	True	True	Both identifications are reported
468	-5.449771646944906	-4.853871964321762	7739.0	4176.0	True	True	Both identifications are reported
469	-6.284832642151542	-10.164943898279883	7796.0	7546.0	True	True	Both identifications are reported
470	-7.261219441515631	-7.442492798094342	7804.0	6237.0	True	True	Both identifications are reported
471	-7.375717904164332	-16.27901425584626	7860.0	6142.0	True	True	Both identifications are reported
472	-2.5967215822647614	-7.127261172527331	7866.0	8824.0	True	False	Only one identification is reported
473	-8.692503962086787	-3.0261593798313853	7923.0	8442.0	True	False	Only one identification is reported
474	-8.321481620959887	-3.0261593798313853	7984.0	8442.0	True	False	Only one identification is reported
475	-8.233587152887601	-3.0261593798313853	8000.0	8442.0	True	False	Only one identification is reported
476	-23.642065152999546	-13.534617148551582	8008.0	3980.0	True	True	Both identifications are reported
477	-7.931814138253839	-3.5095919984939887	2363.0	4436.0	True	True	Both identifications are reported
478	-19.33068311943389	-6.876148359032914	4119.0	4205.0	True	True	Both identifications are reported
479	-6.876148359032914	-5.449771646944906	4205.0	7739.0	True	True	Both identifications are reported
480	-6.392544976785332	-5.449771646944906	4238.0	7739.0	True	True	Both identifications are reported
481	-5.772113295386326	-5.449771646944906	4245.0	7739.0	True	True	Both identifications are reported
482	-7.6777807052660805	-5.449771646944906	4252.0	7739.0	True	True	Both identifications are reported
